Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2023-24","Spring","BMVS","6094","Board Certification Topics","Keebaugh","3.8","60","20","20","0","0","0","0","0","0","0","0","0","0","5","12122","  1"
"2023-24","Spring","MUS","2214","Class Applied Piano","Baldwin","3.8","80","0","0","20","0","0","0","0","0","0","0","0","0","5","18313","  1"
"2023-24","Spring","PHS","5004","Foundations of Public Health","Hungerford","3.74","60","20","0","20","0","0","0","0","0","0","0","0","0","5","18924","  1"
"2023-24","Spring","PHYS","2216","General Physics Laboratory","Merritt","3.8","80","0","0","20","0","0","0","0","0","0","0","0","0","5","18968","  1"
"2023-24","Spring","HTM","5944","Graduate Seminar","Kim","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","16565","  1"
"2023-24","Spring","MUS","2594","Individual Applied Clarinet","Tobin","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","18328","  1"
"2023-24","Spring","MUS","3314","Instrumental Ensemble Music","Wilkens-Reed","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","18373","  1"
"2023-24","Spring","PHYS","4684","Quantum Software II","Mayhall","3.28","60","0","0","0","20","0","0","20","0","0","0","0","0","5","19182","  1"
"2023-24","Spring","FREC","4984","SS: Urban&Comm Forestry Pract","Wiseman","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","21769","  1"
"2023-24","Spring","COS","4016","Supervision in Science: Orion","Rowell","3.86","80","0","20","0","0","0","0","0","0","0","0","0","0","5","21431","  1"
"2023-24","Spring","BIOL","6014","TS: Machine Learning Evol Biol","Suvorov","3.8","80","0","0","20","0","0","0","0","0","0","0","0","0","5","21047","  1"
"2023-24","Spring","TA","3014","Theatre Production Lab","Copenhaver","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","20187","  1"
"2023-24","Spring","TA","3014","Theatre Production Lab","Holland","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","20189","  1"
"2023-24","Spring","TA","3014","Theatre Production Lab","Holland","3.54","40","40","0","0","0","20","0","0","0","0","0","0","0","5","20194","  1"
"2023-24","Spring","TA","3014","Theatre Production Lab","Holland","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","20202","  1"
"2023-24","Spring","COS","3016","App Science Leadership","Rowell","3.05","50","0","16.7","0","0","0","0","16.7","16.7","0","0","0","0","6","21433","  1"
"2023-24","Spring","ECE","3274","Elctrnc Circuits Lab II","Baumann","3.62","50","16.7","0","33.3","0","0","0","0","0","0","0","0","0","6","13777","  1"
"2023-24","Spring","ECE","3274","Elctrnc Circuits Lab II","Longest","3.62","50","16.7","0","33.3","0","0","0","0","0","0","0","0","0","6","13777","  1"
"2023-24","Spring","AOE","4206","Exper for Ocean Vehicle Design","Alexander","3.9","66.7","33.3","0","0","0","0","0","0","0","0","0","0","0","6","10464","  1"
"2023-24","Spring","FIW","3964","Field Study/Pract; Spring 2024","Kelly","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","15619","  1"
"2023-24","Spring","ENT","5004","Graduate Seminar","Couvillon","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","15354","  1"
